Date,F1,F2,F3,F4,F5,F6,Like
2/6,Thin Mint Cookie,Maple Walnut (SF),Costa Rican Cappuccino,Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,16
2/5,Irish Mint,Maple Walnut (SF),Costa Rican Cappuccino,Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,12
2/4,Strawberry Shortcake,Maple Walnut (SF),Irish Mint,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,9
2/3,Strawberry Shortcake,Maple Walnut (SF),Irish Mint,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,11
2/2,Strawberry Shortcake,Caramel Pecan Toffee (SF),Irish Mint,Costa Rican Cappuccino,Ghirardelli Chocolate,Vanilla Classic,13
2/1,None,None,None,None,Ghirardelli Chocolate,Vanilla Classic,0
1/31,Strawberry Shortcake,Caramel Pecan Toffee (SF),Peanut Butter Chocolate,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,17
1/30,Strawberry Shortcake,Caramel Pecan Toffee (SF),Peanut Butter Chocolate,Cookies & Cream,Ghirardelli Chocolate,Vanilla Classic,23
1/29,NY Cheesecake,Caramel Pecan Toffee (SF),Peanut Butter Chocolate,Maine Blueberry,Ghirardelli Chocolate,Vanilla Classic,18
1/28,NY Cheesecake,White Chocolate Macadamia (SF),Peanut Butter Chocolate,Maine Blueberry,Ghirardelli Chocolate,Vanilla Classic,12
1/27,NY Cheesecake,White Chocolate Macadamia (SF),Maine Blueberry,Peanut Butter (Low Fat),Ghirardelli Chocolate,Vanilla Classic,11
1/26,NY Cheesecake,White Chocolate Macadamia (SF),Maine Blueberry,Peanut Butter (Low Fat),Ghirardelli Chocolate,Vanilla Classic,14
1/25,Butter Pecan,White Chocolate Macadamia (SF),Mounds Bar,Maine Blueberry,Ghirardelli Chocolate,Vanilla Classic,7
1/24,Butter Pecan,Caramel Custard (SF),Mounds Bar,Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,18
1/23,Butter Pecan,Caramel Custard (SF),Mounds Bar,Pomegranate Raspberry (Tart),Ghirardelli Chocolate,Vanilla Classic,13
1/22,Fresh Blackberry,Caramel Custard (SF),Mounds Bar,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,8
1/21,Fresh Blackberry,Caramel Custard (SF),Hawaiian Coconut,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,9
1/20,Fresh Blackberry,Yellow Cake Batter (SF),Hawaiian Coconut,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,13
1/19,Fresh Blackberry,Yellow Cake Batter (SF),Hawaiian Coconut,Creme Brulee,Ghirardelli Chocolate,Vanilla Classic,19
1/18,Fresh Blackberry,Yellow Cake Batter (SF),Hawaiian Coconut,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,10
1/17,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,7
1/16,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,3
1/15,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,7
1/14,Fresh Strawberry,Hazelnut Amaretto (SF),Vanilla Cappuccino,Salted Caramel Pretzel (Low Fat),Ghirardelli Chocolate,Vanilla Classic,8
1/13,Fresh Strawberry,Pistachio Cream (SF),Salted Caramel Pretzel (Low Fat),,Ghirardelli Chocolate,Vanilla Classic,13
1/12,Fresh Strawberry,Pistachio Cream (SF),Thin Mint Cookie,,Ghirardelli Chocolate,Vanilla Classic,5
1/11,None,None,None,None,Ghirardelli Chocolate,Vanilla Classic,None
1/10,Red Raspberry,Pistachio Cream (SF),Irish Mint,,Ghirardelli Chocolate,Vanilla Classic,15
